Country,Year,Medal
Armenia,2016,No medal
Cote d'Ivoire,1992,No medal
Cote d'Ivoire,1996,No medal
Cote d'Ivoire,2008,No medal
Cote d'Ivoire,2008,No medal
Spain,2008,No medal
Spain,2012,No medal
Spain,2016,No medal
France,1984,No medal
East Germany,1988,No medal
Tunisia,1988,No medal
Iraq,1988,No medal
Kazakhstan,2008,No medal
Japan,2008,No medal
Japan,2012,No medal
Kenya,2016,No medal
Bulgaria,1980,Gold
France,2012,No medal
France,2016,No medal
Nigeria,2012,No medal
Nigeria,2016,No medal
Benin,1980,No medal
Benin,1984,No medal
Russia,2008,No medal
Azerbaijan,2004,No medal
Brazil,2016,No medal
Russia,2012,No medal
Russia,2012,Bronze
Russia,2012,Silver
Russia,2012,No medal
Russia,2012,No medal
Russia,2012,No medal
Russia,2016,Silver
Russia,2016,No medal
Russia,2016,Silver
Russia,2016,Bronze
Cameroon,2016,No medal
Ghana,1996,No medal
Nigeria,2012,No medal
Maldives,1988,No medal
Australia,2016,No medal
Australia,2016,Bronze
Cameroon,1984,No medal
Cameroon,1984,No medal
Egypt,2016,No medal
Egypt,2000,No medal
Egypt,2008,No medal
Egypt,2016,No medal
Egypt,2000,No medal
Egypt,1984,No medal
Egypt,1992,No medal
Egypt,2000,No medal
Egypt,1984,No medal
Syria,2000,No medal
Egypt,1984,No medal
Egypt,1984,No medal
Iraq,1988,No medal
Morocco,2000,No medal
Niger,1988,No medal
Qatar,2004,No medal
Qatar,2008,No medal
Iraq,1992,No medal
Libya,1988,No medal
Algeria,1984,No medal
Iraq,1984,No medal
Algeria,2012,No medal
Egypt,2016,No medal
Egypt,2012,Silver
Egypt,2012,No medal
Egypt,2016,No medal
Egypt,2016,No medal
Egypt,1992,No medal
Egypt,2004,No medal
Mali,2004,No medal
Egypt,2012,No medal
United States,1996,No medal
Hungary,1988,Bronze
Hungary,1988,Gold
Hungary,1992,Silver
Great Britain,1980,No medal
Great Britain,1980,No medal
Great Britain,1980,Bronze
Chile,2016,No medal
Switzerland,2016,No medal
India,1984,No medal
India,1984,No medal
India,1988,No medal
India,1988,No medal
India,1992,No medal
India,1996,No medal
Poland,1980,No medal
Sweden,2000,No medal
Sweden,2004,Silver
Sweden,2008,No medal
South Africa,2008,No medal
Costa Rica,1984,No medal
Costa Rica,1984,No medal
United States,1984,No medal
Belarus,2016,No medal
Morocco,1992,No medal
Georgia,1996,No medal
Slovenia,1996,No medal
Russia,2008,No medal
Russia,2008,No medal
Russia,2004,Bronze
Soviet Union,1980,No medal
