Country,Year,Medal
Russia,2000,No medal
Russia,2004,No medal
Russia,2004,No medal
Ukraine,2016,No medal
Ukraine,2016,No medal
Belarus,2008,No medal
Soviet Union,1988,Bronze
Ukraine,1996,No medal
Ukraine,2000,No medal
Ukraine,2016,No medal
Ukraine,2016,No medal
Italy,2004,No medal
Italy,2000,No medal
Italy,2004,No medal
Monaco,2008,No medal
Argentina,1996,No medal
Argentina,2000,No medal
San Marino,1996,No medal
Peru,1988,No medal
Peru,1992,No medal
Colombia,2016,No medal
Italy,2008,No medal
Austria,1992,No medal
Austria,1984,No medal
South Africa,2016,No medal
Brazil,1988,No medal
Brazil,1992,No medal
Brazil,1996,Bronze
Canada,1984,No medal
Canada,1984,No medal
France,2012,No medal
Poland,2004,No medal
Poland,2012,No medal
Poland,2012,No medal
Poland,2000,No medal
Brazil-2,2004,No medal
Brazil-1,2008,Silver
Lithuania,2000,Bronze
Soviet Union,1988,Gold
Lithuania,1992,Bronze
Lithuania,1996,Bronze
Spain,2012,No medal
Soviet Union,1988,Bronze
Unified Team,1992,Bronze
Italy,1992,No medal
Italy,2004,No medal
Italy,2008,No medal
Italy,2000,No medal
Italy,2004,Silver
Italy,1992,No medal
Italy,2016,No medal
Italy,2000,No medal
Italy,2008,No medal
Italy,2016,No medal
Italy,2000,No medal
Italy,2000,No medal
Italy,2004,No medal
Italy,2008,No medal
Italy,2004,No medal
Italy,2008,No medal
Spain,2000,No medal
Spain,2004,No medal
Cuba,2000,No medal
Brazil,2000,No medal
Canada,2008,No medal
Canada,2012,No medal
Canada,2012,No medal
West Germany,1984,Silver
Spain,1988,No medal
Canada,2012,No medal
Canada,2012,No medal
Canada,1988,Silver
El Salvador,2004,No medal
El Salvador,2004,No medal
El Salvador,2008,No medal
El Salvador,2008,No medal
Brazil,1984,Silver
Norway,2008,No medal
Norway,2012,No medal
Hungary,2000,Gold
Poland,1980,No medal
Australia,2012,No medal
Poland,2008,No medal
Iran,2016,No medal
United States,1984,Silver
United States,1988,Silver
United States,1992,No medal
Morocco,2016,No medal
Syria,1980,No medal
Refugee Olympic Athletes,2016,No medal
Refugee Olympic Athletes,2016,No medal
Great Britain,1988,No medal
Spain,1992,No medal
Spain,1996,No medal
France,1996,No medal
Czechoslovakia,1980,No medal
Czechoslovakia,1980,No medal
Czechoslovakia,1980,No medal
Czechoslovakia,1980,No medal
Czechoslovakia,1980,No medal
Czechoslovakia,1980,No medal
Paraguay,1992,No medal
France,2000,No medal
France,2000,No medal
France,2000,No medal
France,2000,No medal
France,2000,No medal
France,2000,No medal
France,2000,No medal
France,2004,No medal
France,2004,No medal
France,2004,No medal
France,2004,No medal
France,2004,No medal
France,2004,No medal
France,2004,No medal
United States,1988,No medal
South Africa,2012,No medal
Tunisia,2012,No medal
Egypt,1984,No medal
Argentina,1988,No medal
Argentina,1988,No medal
Argentina,1992,No medal
South Africa,2000,No medal
Cuba,1992,Bronze
Cuba,1996,Silver
Cuba,2000,Silver
Cuba,2004,No medal
Nicaragua,1992,No medal
El Salvador,1992,No medal
El Salvador,1992,No medal
El Salvador,1992,No medal
Croatia,2008,No medal
Croatia,2012,No medal
Croatia,2016,Gold
Russia,2008,Silver
Russia,2012,No medal
Russia,2016,Gold
Italy,2004,No medal
Mexico,2004,No medal
Germany,2016,No medal
South Africa,2004,No medal
South Africa,2008,No medal
South Africa,2012,No medal
Czech Republic,2000,No medal
Czech Republic,2000,No medal
Czech Republic,2000,No medal
Czech Republic,2000,No medal
Czech Republic,2000,No medal
Czech Republic,2012,No medal
France,2016,Bronze
East Germany,1980,Gold
Uruguay,2004,No medal
United States,2016,Gold
United States,2016,No medal
Spain,1980,No medal
Spain,1984,Silver
Spain,1988,No medal
Argentina,2000,Silver
Argentina,2004,Bronze
Argentina,2008,Bronze
Greece,1996,No medal
Greece,1996,No medal
Greece,1996,No medal
Greece,1996,No medal
Greece,1996,No medal
Greece,1996,No medal
Armenia,2000,No medal
Armenia,2016,No medal
Bosnia and Herzegovina,1992,No medal
Bosnia and Herzegovina,1992,No medal
Lithuania,2016,No medal
Moldova,2012,No medal
Moldova,2016,No medal
Moldova,2008,No medal
Moldova,2012,No medal
Moldova,2016,No medal
Moldova,2008,No medal
Moldova,2016,No medal
Italy,2000,No medal
Hungary,2004,No medal
Slovenia,1996,No medal
Slovenia,2000,No medal
Georgia,2004,No medal
Ecuador,1988,No medal
Ecuador,1984,No medal
Switzerland,2008,No medal
Switzerland,2008,No medal
Switzerland,2012,No medal
Switzerland,2012,No medal
Georgia,2016,No medal
Latvia,2016,No medal
Brazil,2004,No medal
Brazil,2008,Gold
Italy,1980,No medal
Spain,1996,No medal
Spain,2000,No medal
Spain,2000,No medal
Brazil-2,2012,No medal
Spain,1984,No medal
Spain,1988,No medal
Spain,1992,No medal
Sudan,1984,No medal
Individual Olympic Athletes,2012,No medal
South Sudan,2016,No medal
Argentina,1992,No medal
Argentina,1996,No medal
Argentina,2000,No medal
Italy,1984,No medal
Brazil,2016,No medal
Brazil,2016,No medal
Brazil,2016,Bronze
Brazil,2016,No medal
Brazil,2016,No medal
Brazil,2016,No medal
Brazil,2016,No medal
Netherlands,2012,No medal
Australia,2012,No medal
Croatia,2016,No medal
Croatia,2008,No medal
Croatia,2012,No medal
Argentina,1992,No medal
Seychelles,1980,No medal
Seychelles,1980,No medal
Seychelles,1984,No medal
Seychelles,1984,No medal
Seychelles,2004,No medal
France,2004,No medal
France,1984,No medal
France,1984,No medal
France,1984,No medal
France,1988,No medal
France,1988,Bronze
France,1992,No medal
Mauritius,1992,No medal
Belgium,2008,Silver
Switzerland,1988,No medal
Italy,1988,No medal
Croatia,2012,No medal
Austria,2000,No medal
Austria,2000,No medal
Austria,2004,No medal
Mali,2004,No medal
Gambia,1992,No medal
Gambia,1992,No medal
Gambia,1992,No medal
Individual Olympic Athletes,1992,No medal
Individual Olympic Athletes,1992,No medal
Argentina,2004,No medal
Spain,2012,No medal
Spain,2016,Gold
Romania,1980,No medal
Romania,1980,No medal
Romania,1984,No medal
Romania,1984,Bronze
Italy,2004,No medal
Romania,1992,Silver
Romania,1996,No medal
Romania,1996,No medal
Spain,1980,No medal
Spain,1980,No medal
Spain,1984,No medal
Spain,1988,No medal
Spain,1988,No medal
Spain,1992,No medal
Costa Rica,2000,No medal
Cuba,1992,No medal
Cuba,1996,No medal
Italy,2004,No medal
Italy,2008,No medal
Italy,2012,No medal
Italy,2016,No medal
Italy,1984,Silver
Italy,1984,Gold
Italy,1988,No medal
Italy,1988,Bronze
Italy,1992,Silver
Italy,1992,No medal
Spain,1992,No medal
Canada,2008,No medal
Romania,1992,No medal
Romania,1992,No medal
Spain,1988,No medal
Spain,1992,No medal
Colombia,1996,No medal
Colombia,2000,No medal
Bulgaria,1980,No medal
Bulgaria,1988,No medal
Bulgaria,1988,No medal
Romania,1996,No medal
Romania,1996,Bronze
Romania,1996,No medal
Romania,1996,No medal
Romania,1996,No medal
Romania,1996,No medal
Romania,1984,No medal
Romania,1984,Gold
Indonesia,1988,No medal
Portugal,2000,No medal
Portugal,2004,No medal
Portugal,2008,No medal
Portugal,2012,No medal
Brazil,1984,No medal
Brazil,1988,No medal
Brazil,1996,No medal
Unified Team,1992,No medal
Unified Team,1992,No medal
Moldova,1996,No medal
Moldova,1996,No medal
Moldova,2000,No medal
Serbia and Montenegro,1996,No medal
New Zealand,2004,No medal
New Zealand,2008,No medal
France,2016,No medal
Argentina,2008,No medal
Italy,1996,No medal
United States,1988,No medal
United States,1988,No medal
United States,1992,No medal
United States,1992,No medal
Bulgaria,2012,No medal
Bulgaria,1988,No medal
Bulgaria,1988,Bronze
Bulgaria,1992,Bronze
Bulgaria,1992,No medal
Bulgaria,1996,No medal
Bulgaria,1996,No medal
Australia,2004,No medal
Australia,2016,No medal
Australia,2016,No medal
Bulgaria,1988,Gold
Bulgaria,1980,No medal
Bulgaria,1980,No medal
Bulgaria,1980,No medal
Bulgaria,1980,No medal
Bulgaria,1980,No medal
Bulgaria,1980,No medal
Bulgaria,2000,No medal
Macedonia,2012,No medal
Bulgaria,2000,Gold
Bulgaria,2004,Bronze
Bulgaria,2008,No medal
Croatia,2000,No medal
Croatia,2000,No medal
Croatia,2004,No medal
Croatia,2004,No medal
Croatia,2008,No medal
Croatia,2008,No medal
Brazil,2004,No medal
Brazil,2004,No medal
Brazil,2016,No medal
Portugal,2004,No medal
United States,2004,Bronze
Brazil,1996,No medal
France,1988,No medal
Indonesia-2,2004,No medal
Indonesia-2,2008,No medal
Indonesia,2008,No medal
Indonesia,2008,No medal
Kenya,2000,No medal
Kenya,1988,No medal
Finland,1980,No medal
Serbia,2012,No medal
Serbia,2016,No medal
Morocco,1988,No medal
Morocco,1992,No medal
Australia,2004,No medal
Australia,2012,No medal
Australia,1988,No medal
Australia,1992,No medal
Australia,1996,No medal
Australia,1996,Gold
Australia,2000,No medal
Australia,2000,Silver
Australia,2008,No medal
Australia,2012,No medal
Trinidad and Tobago,2000,No medal
Trinidad and Tobago,2004,No medal
Greece,2004,No medal
Soviet Union,1980,No medal
Soviet Union,1980,Gold
Soviet Union,1980,No medal
Soviet Union,1980,No medal
Soviet Union,1980,No medal
Soviet Union,1980,No medal
Soviet Union,1980,No medal
Soviet Union,1980,No medal
Lithuania,1992,No medal
Switzerland,1984,No medal
Slovenia,2008,No medal
Poland,1996,Bronze
Poland,1996,No medal
Soviet Union,1988,No medal
Soviet Union,1980,Gold
Soviet Union,1980,Gold
Sweden,2000,No medal
Sweden,2004,No medal
Sweden,2000,No medal
Sweden,2000,No medal
Indonesia,1996,No medal
Armenia,2008,No medal
Greece,2004,No medal
Cyprus,1996,No medal
Cyprus,1996,No medal
Cyprus,1996,No medal
Cyprus,2000,No medal
Cyprus,2000,No medal
Cyprus,2000,No medal
Cyprus,2004,No medal
Russia,2016,No medal
Russia,2016,No medal
Russia,1996,No medal
Russia,1996,Silver
Russia,2000,No medal
Russia,2000,No medal
Russia,2000,Bronze
Russia,2004,No medal
Russia,2004,No medal
Russia,2008,No medal
Russia,2008,No medal
Russia,2008,Bronze
Russia,2012,No medal
Bulgaria,1992,No medal
Belarus,1996,No medal
Australia,2000,No medal
Australia,2004,No medal
Bulgaria,1992,No medal
Bulgaria,1992,No medal
Russia,2000,No medal
Bulgaria,2000,Silver
Russia,1996,Silver
Russia,2000,No medal
Russia,2008,No medal
Bulgaria,2012,No medal
Bulgaria,1988,Gold
Bulgaria,1992,No medal
Bulgaria,2004,No medal
Serbia,2012,No medal
Individual Olympic Athletes,1992,No medal
Yugoslavia,1988,No medal
Serbia and Montenegro,2004,No medal
Croatia,2008,No medal
Serbia,2016,Silver
Serbia and Montenegro,1996,No medal
Serbia and Montenegro,1996,No medal
Serbia and Montenegro,2000,No medal
Serbia and Montenegro,2004,No medal
Serbia,2008,No medal
Qatar,2016,No medal
Serbia,2012,No medal
Kazakhstan,2008,No medal
Hungary,1988,No medal
Hungary,1996,No medal
Australia,1992,No medal
Soviet Union,1980,No medal
Soviet Union,1980,Silver
Jamaica,1984,No medal
Jamaica,1984,No medal
Jamaica,1984,No medal
Jamaica,1984,No medal
New Zealand,2000,No medal
New Zealand,2004,No medal
United States,2008,No medal
Canada,2008,No medal
Austria,2012,No medal
Albania,2004,No medal
Albania,2008,No medal
Hungary,2000,Silver
Ukraine,2004,Bronze
Denmark,1980,No medal
Denmark,1984,No medal
Denmark,1984,No medal
Denmark,2012,No medal
Netherlands,2004,No medal
Netherlands,2008,No medal
West Germany,1988,No medal
Canada,1988,No medal
Canada,1992,Gold
Canada,2008,No medal
Great Britain,1980,No medal
United States,1984,Gold
United States,1988,No medal
United States,1988,No medal
United States,1988,No medal
United States,1988,No medal
United States,1988,No medal
United States,1988,No medal
Mexico,2000,No medal
Mexico,2004,No medal
Mexico,2004,No medal
Mexico,2008,No medal
Mexico,2008,No medal
Italy,1996,No medal
Tunisia,1996,No medal
Tunisia,2000,No medal
Italy,2004,No medal
Italy,2004,No medal
Italy,2008,No medal
Morocco,2008,No medal
United States,1988,No medal
United States,1996,No medal
Romania,2012,No medal
Romania,2012,No medal
United States,2012,Gold
United States,2012,Silver
Dominica,2000,No medal
Hungary,1980,Silver
Hungary,1980,Bronze
Hungary,2012,Bronze
Hungary,2016,No medal
Hungary,1988,No medal
Hungary,1992,No medal
Hungary,2000,No medal
Hungary,2000,No medal
Great Britain,1992,No medal
Spain,1992,No medal
Spain,1988,No medal
Spain,1992,No medal
Spain,1992,No medal
Spain,1996,No medal
France,2016,No medal
Iran,2016,No medal
United States,2016,Gold
Yugoslavia,1980,No medal
Croatia,2016,No medal
Germany,2016,Gold
United States,1996,No medal
Canada,2004,No medal
Canada,2008,No medal
Canada,2012,Silver
Portugal,2008,No medal
Portugal,1992,No medal
Brazil,2016,No medal
Brazil,2016,No medal
Portugal,1988,No medal
Portugal,2000,No medal
Brazil,2000,No medal
Brazil,2008,No medal
Brazil,2012,Bronze
Brazil,2016,No medal
Mauritius,2012,No medal
France,1992,No medal
New Zealand,1984,No medal
Venezuela,2008,No medal
Spain,1988,No medal
Spain,2000,No medal
Colombia,2012,No medal
Spain,1996,No medal
Cuba,1980,No medal
Venezuela,2008,No medal
Venezuela,2008,No medal
Mexico,2004,No medal
United States,1992,No medal
Portugal,1984,No medal
Brazil,1996,No medal
Brazil,2012,No medal
Brazil,2016,No medal
Brazil,1980,No medal
Brazil,1984,No medal
Brazil,2016,Gold
France,1980,No medal
Italy,2016,No medal
Cuba,2004,No medal
Cuba,2008,No medal
Cuba,1980,No medal
Cuba,1980,No medal
Colombia,2012,No medal
Venezuela,2016,No medal
Mauritius,2008,No medal
Great Britain,1992,Silver
Great Britain,1996,No medal
Switzerland,1996,No medal
Switzerland,1980,No medal
Guatemala,1984,No medal
Guatemala,1984,No medal
Guatemala,1984,No medal
Guatemala,1984,No medal
New Zealand,1992,No medal
Georgia,2012,Bronze
France,1988,No medal
France,1992,No medal
France,1996,No medal
France,2000,No medal
France,2000,No medal
Hungary,2000,No medal
Australia,2016,No medal
Great Britain,2008,No medal
Australia,1992,No medal
Australia,2000,No medal
Australia,1996,Gold
Haiti,1996,No medal
Jamaica,1984,No medal
Jamaica,1984,No medal
Jamaica,1984,No medal
Jamaica,1984,No medal
Jamaica,1984,No medal
United States,1992,No medal
United States,1996,No medal
United States,1996,No medal
United States,2000,No medal
United States,2000,No medal
Cayman Islands,1992,No medal
United States,1984,No medal
United States,1988,No medal
United States,1992,Gold
United States,1992,Gold
United States,1996,No medal
United States,1996,No medal
United States,1996,Silver
Antigua and Barbuda,1992,No medal
Canada,1988,No medal
Australia,1984,No medal
United States,2008,Bronze
Costa Rica,1980,No medal
United States,2000,No medal
Australia,1984,No medal
United States,1988,No medal
United States,1984,No medal
Cuba,1980,No medal
Cuba,2000,No medal
Great Britain,2004,No medal
Great Britain,2004,No medal
Great Britain,2004,No medal
Great Britain,2004,No medal
Great Britain,2008,No medal
Great Britain,2008,No medal
Barbados,1996,No medal
Barbados,2000,No medal
United States,1988,No medal
Great Britain,1980,No medal
Great Britain,1980,Bronze
New Zealand,2012,No medal
Great Britain,2012,No medal
Great Britain,2016,No medal
Canada,1988,No medal
Canada,2016,No medal
Hungary,1996,No medal
Hungary,1996,No medal
Hungary,2000,No medal
Hungary,2000,No medal
Italy,1980,No medal
Azerbaijan,2012,No medal
Netherlands,1992,No medal
Canada,2000,No medal
West Germany,1988,No medal
West Germany,1988,No medal
United States,2008,Bronze
Great Britain,2000,No medal
Sweden,1980,Bronze
Sweden,1984,No medal
Sweden,1988,No medal
Sweden,1992,No medal
Poland,1992,No medal
Brazil,2004,Silver
Brazil,2008,Silver
Brazil,2012,No medal
Brazil,2016,No medal
Portugal,1996,No medal
Dominican Republic,2012,No medal
France,2016,No medal
United States,2012,Bronze
United States,2016,No medal
Cuba,1992,Gold
Cuba,1996,No medal
Canada,1996,No medal
Belgium,2008,No medal
Sweden,1980,Silver
Sweden,1980,No medal
Sweden,1980,No medal
Sweden,1980,No medal
Sweden,1984,No medal
Sweden,1996,No medal
Ghana,2000,No medal
Netherlands Antilles,1984,No medal
Spain,1992,No medal
Great Britain,1992,No medal
Great Britain,1996,No medal
Spain,2008,No medal
Switzerland,2004,No medal
Switzerland,2004,No medal
Switzerland,2004,No medal
Switzerland,2004,No medal
Switzerland,2004,No medal
Guyana,1996,No medal
Spain,1988,No medal
Spain,1988,No medal
France,1984,No medal
France,1988,No medal
Slovakia,1996,Gold
Slovakia,2000,Silver
Slovakia,2004,Silver
Slovakia,2008,Gold
Slovakia,2012,Bronze
Spain,2016,No medal
Ireland,1996,No medal
Spain,2012,No medal
Spain,2016,No medal
United States,2000,No medal
West Germany,1988,No medal
West Germany,1988,No medal
Slovakia,2016,No medal
Slovakia,2016,No medal
Guam,1992,No medal
Australia,2000,No medal
United States,1988,No medal
Canada,2004,No medal
Canada,2012,No medal
Australia,2008,No medal
Australia,2000,No medal
Spain,1988,No medal
Spain,2000,No medal
Canada,2016,No medal
United States,2012,No medal
United States,2012,No medal
United States,2016,No medal
United States,2016,No medal
Denmark,1992,No medal
Denmark,1996,No medal
Denmark,2000,Silver
Denmark,2004,No medal
Spain,2012,Bronze
Spain,2016,No medal
Argentina,1988,No medal
Australia,2016,No medal
Croatia,2012,Silver
Croatia,2016,Silver
Ireland,2012,No medal
Ireland,2016,No medal
Spain,2008,No medal
Spain,2012,No medal
France,2000,No medal
France,2004,No medal
Spain,2012,No medal
Spain,2016,No medal
Australia,2004,No medal
Great Britain,1984,No medal
Great Britain,1988,No medal
Great Britain,1988,No medal
Great Britain,1992,No medal
Spain,2000,No medal
Spain,2004,No medal
Spain,2008,No medal
Australia,2000,No medal
Spain,1984,Silver
Australia,1984,No medal
Australia,1984,No medal
Great Britain,2012,No medal
Great Britain,2016,No medal
Spain,2016,No medal
Spain,1980,No medal
Spain,1984,No medal
South Africa,1992,No medal
South Africa,1996,No medal
New Zealand,1984,No medal
Canada,2012,No medal
Spain,2012,No medal
Spain,2012,No medal
Spain,2016,No medal
Spain,2016,No medal
United States,1988,No medal
United States,1992,Silver
Tanzania,1980,No medal
Tanzania,1980,No medal
Great Britain,1980,No medal
Great Britain,1980,No medal
Great Britain,1984,No medal
Great Britain,1984,No medal
Great Britain,1988,No medal
Great Britain,1988,No medal
Canada,1984,No medal
Great Britain,2012,No medal
Switzerland,2004,No medal
Spain,2000,No medal
Spain,2004,No medal
Spain,1988,No medal
Spain,2000,No medal
Spain,2004,No medal
Spain-2,1996,No medal
Spain,2000,No medal
Spain,1996,No medal
Spain,1996,No medal
Spain,1996,No medal
Spain,1996,No medal
Spain,1996,No medal
Spain,1996,No medal
Spain,1984,No medal
Great Britain,1980,No medal
Great Britain,1984,No medal
Spain,1992,No medal
Cuba,2000,No medal
Benin,1980,No medal
Australia,1984,No medal
Romania,2008,No medal
Romania,2012,Bronze
Sweden,1984,No medal
Sweden,1984,No medal
Sweden,1988,No medal
Sweden,1988,No medal
United States,2008,No medal
Jamaica,1996,No medal
Jamaica,1996,Bronze
United States,1988,No medal
Great Britain,1984,Bronze
Great Britain,1988,Gold
Great Britain,1992,No medal
Australia,2008,No medal
Australia,2012,No medal
United States,2000,No medal
Germany,2012,No medal
Germany,2012,Silver
Germany,2016,No medal
Germany,2016,No medal
Australia,2016,No medal
Spain,2000,No medal
Spain,2016,No medal
United States,1996,No medal
Spain,1992,No medal
Australia,1984,No medal
Australia,1988,Silver
Australia,1992,No medal
Australia,1996,No medal
Netherlands Antilles,2004,No medal
Netherlands Antilles,2008,No medal
Netherlands Antilles,2008,No medal
Netherlands,2012,No medal
Netherlands,2012,No medal
Netherlands,2012,No medal
Netherlands,2016,No medal
Netherlands,2016,No medal
Barbados,1996,No medal
Barbados,1996,No medal
Barbados,2000,No medal
Barbados,2000,No medal
Saint Vincent and the Grenadines,1996,No medal
Netherlands,2004,No medal
Netherlands,2008,No medal
Hungary,1988,Gold
Hungary,1988,Gold
Hungary,1996,Bronze
Argentina,1992,No medal
Argentina,1996,No medal
Italy,1984,No medal
Italy,1984,No medal
Italy,1996,Gold
Italy,2000,No medal
Italy,2000,Bronze
Switzerland,1992,No medal
Switzerland,2000,No medal
Spain,2016,No medal
Cuba,1992,No medal
Chile,1984,No medal
Mexico,2012,No medal
Belize,2008,No medal
Mexico,2004,No medal
Cuba,1980,Gold
Mexico,2008,No medal
Cuba,2012,No medal
United States,2016,No medal
Cuba,1980,No medal
Mexico,1996,No medal
Paraguay,2016,No medal
Spain,1992,No medal
Spain,1992,No medal
Bolivia,1996,No medal
Spain,1992,No medal
Spain,1992,Silver
Spain,1996,No medal
Spain,1996,Bronze
Spain,2000,No medal
Spain,2000,No medal
Spain,2004,No medal
Spain-2,2004,Silver
Spain,1992,No medal
Spain,1996,No medal
Spain,1992,No medal
Spain,1996,No medal
Spain,2000,No medal
Mexico,2004,No medal
El Salvador,1988,No medal
Cuba,2000,No medal
Argentina,1984,No medal
Argentina,1988,Bronze
Argentina,1996,No medal
Argentina-1,2000,No medal
Spain,2016,No medal
Honduras,2008,No medal
Paraguay,2004,Silver
Cuba,1980,No medal
Spain,1996,Gold
Puerto Rico,2008,No medal
Argentina,2016,No medal
Spain,1988,No medal
Mexico,1996,No medal
Mexico,2008,No medal
Colombia,2000,No medal
Cuba,2012,No medal
Argentina,1996,No medal
Spain,2000,No medal
Spain,2004,No medal
Spain,2004,Gold
Spain,2008,Silver
Spain,2012,No medal
Mexico,2008,No medal
Spain,2012,No medal
Spain,1980,No medal
Spain,1980,No medal
Spain,1980,No medal
Spain,1980,No medal
Spain,1980,No medal
Spain,1984,No medal
Spain,1984,No medal
Spain,1984,No medal
Spain,1984,No medal
Spain,1984,No medal
Spain,1984,No medal
Spain,1996,No medal
El Salvador,2000,No medal
Honduras,2000,No medal
Spain,2012,No medal
Spain,1988,No medal
Mexico,1996,No medal
United States,1984,Bronze
Spain,2004,Bronze
Cuba,2004,Gold
Cuba,2008,Silver
Mexico,2016,No medal
Mexico,1992,No medal
Mexico,1992,No medal
Spain,1988,No medal
Spain,1992,No medal
Spain,2004,No medal
Spain,2008,No medal
Spain,1992,No medal
Spain,1996,No medal
Spain,1996,No medal
Cuba,1992,No medal
Guatemala,1996,No medal
Guatemala,2000,No medal
Guatemala,2004,No medal
Belize,2012,No medal
Spain,2000,No medal
Spain,2000,No medal
Spain,2000,No medal
Spain,2000,No medal
Spain,2000,No medal
Spain,2000,No medal
Cuba,2016,No medal
Cuba,1992,Silver
Venezuela,1984,No medal
Puerto Rico,1996,No medal
Cuba,2004,No medal
Spain,2016,No medal
Puerto Rico,1992,No medal
Puerto Rico,1996,No medal
Guatemala,2016,No medal
Puerto Rico,1988,No medal
Puerto Rico,1992,No medal
Guatemala,1996,No medal
Spain,1992,No medal
Spain,2000,No medal
Spain,2004,No medal
Spain,2008,No medal
Spain,2008,No medal
Italy,2004,No medal
Italy,2008,No medal
Spain,1996,No medal
Spain,2000,No medal
Spain,2004,Bronze
Spain,2008,No medal
Spain,1992,No medal
Venezuela,2008,No medal
Venezuela,2012,No medal
Spain,2008,No medal
Spain-2,2008,No medal
Spain,2012,No medal
Spain-1,2012,No medal
Spain,1992,Gold
United States,1984,Silver
United States,1988,No medal
United States,1992,No medal
Honduras,2012,No medal
Argentina,2016,No medal
Spain,2000,No medal
Spain,2000,No medal
Spain,2004,No medal
Cuba,2004,Bronze
Cuba,2016,No medal
France,1996,Bronze
France,2000,Gold
France,2004,No medal
Argentina,2016,No medal
Spain,2004,No medal
Spain,2008,No medal
Spain,2004,No medal
Spain,2004,No medal
Spain,2004,No medal
Spain,2004,No medal
Spain,2004,No medal
Spain,2004,No medal
Spain,2004,No medal
Spain,2004,No medal
Spain,2008,No medal
Spain,2008,No medal
Spain,2008,No medal
Spain,2008,No medal
Spain,2008,No medal
Spain,2008,No medal
Spain,2008,No medal
Puerto Rico,2012,No medal
Cuba,1992,No medal
Honduras,1988,No medal
Dominican Republic,1996,No medal
Cuba,2004,No medal
Spain,2004,No medal
Spain,1992,No medal
Spain,1992,No medal
Spain,1992,No medal
Spain,1992,No medal
Spain,1992,No medal
Spain,1992,No medal
Nicaragua,1996,No medal
Nicaragua,2000,No medal
Nicaragua,2008,No medal
Nicaragua,2008,No medal
Cuba,2008,No medal
Cuba,1992,No medal
Cuba,1996,No medal
Cuba,2000,No medal
Dominican Republic,2016,No medal
Dominican Republic,2016,No medal
Cuba,2008,No medal
Spain,2008,No medal
Cuba,2000,No medal
Cuba,2000,No medal
Cuba,2004,No medal
Colombia,2016,Silver
Cuba,1992,No medal
France,1996,No medal
France,2000,No medal
Monaco,1984,No medal
Monaco,1988,No medal
United States,1992,Bronze
United States,1992,Gold
United States,1996,No medal
United States,1996,Bronze
United States,1996,Gold
United States,1996,Bronze
United States,1996,Gold
Italy,1984,No medal
Italy,2008,No medal
France,2016,No medal
Croatia,2000,No medal
Serbia and Montenegro,2000,No medal
Slovenia,2008,No medal
Slovenia,2012,No medal
Belarus,2004,No medal
Belarus,2008,Bronze
Portugal,1996,No medal
Angola,1988,No medal
Angola,1988,No medal
Portugal,2016,No medal
Portugal,2004,No medal
Mozambique,1980,No medal
Brazil,2016,No medal
Brazil,2016,No medal
Portugal,2016,No medal
Portugal,2016,No medal
Portugal,2016,No medal
Portugal,2016,No medal
Guinea Bissau,2012,No medal
Brazil,2016,No medal
Brazil,2016,No medal
Canada,2016,No medal
Nigeria,1980,No medal
Brazil,2000,No medal
France,2004,No medal
Brazil,2000,No medal
Timor Leste,2016,No medal
Portugal,1992,No medal
Portugal,2000,No medal
Portugal,2004,No medal
Portugal,2012,No medal
Portugal,2016,No medal
France,1992,No medal
France,2016,No medal
Austria,2016,No medal
Armenia,1996,No medal
Armenia,2000,No medal
Armenia,2004,No medal
Armenia,2016,Silver
Armenia,2008,Bronze
Armenia,2004,No medal
Armenia,2008,Bronze
United States,2004,No medal
Netherlands,1996,No medal
Netherlands,2008,No medal
Russia,2008,No medal
Hungary,2012,No medal
Hungary,2016,Bronze
Hungary,2016,No medal
Australia,2008,No medal
Australia,2012,No medal
Australia,2016,No medal
Australia,2016,No medal
Spain,2016,No medal
Switzerland,2004,No medal
Ukraine,1996,No medal
Soviet Union,1988,No medal
Belarus,1996,No medal
Belarus,1996,No medal
Belarus,2000,No medal
Belarus,2000,Bronze
Belarus,2004,No medal
Belarus,2004,Bronze
Belarus,2008,No medal
Belarus,2008,No medal
Belarus,2012,Gold
Unified Team,1992,Silver
Russia,1996,No medal
Kazakhstan,1996,No medal
Kazakhstan,1996,No medal
Russia,2004,No medal
Russia,2008,No medal
Russia,2008,No medal
Russia,2012,No medal
Russia,2012,No medal
Russia,2008,No medal
France,1988,No medal
Colombia,1992,No medal
Japan,2016,Bronze
Germany,1996,No medal
United States,1996,No medal
Slovenia,1996,No medal
Slovenia,2000,No medal
Yugoslavia,1988,No medal
Croatia,1992,No medal
Croatia,1996,No medal
Germany,2016,No medal
Japan,2004,No medal
Japan,2008,No medal
Japan,2012,Silver
Japan,1992,No medal
Japan,1996,No medal
Japan,1996,No medal
Japan,2000,No medal
Japan,1988,No medal
Japan,1988,No medal
Switzerland,2000,No medal
Switzerland,2004,Silver
Switzerland,2008,No medal
Tanzania,1988,No medal
Tanzania,1992,No medal
Great Britain,1992,No medal
Germany,2004,No medal
Austria,1984,No medal
Austria,1992,No medal
Belgium,2000,No medal
United States,1996,No medal
United States,1996,No medal
West Germany,1984,Bronze
United States,1984,No medal
United States,1988,No medal
United States,1988,No medal
United States,1992,No medal
United States,1996,No medal
United States,1996,No medal
United States,1984,No medal
United States,1984,No medal
United States,1988,No medal
United States,1988,No medal
United States,1992,No medal
Liechtenstein,1984,No medal
Liechtenstein,1988,No medal
Liechtenstein,1992,No medal
